,price,year,mileage,price range
184,4140,2017,40747.0,Low price
185,1400,2002,185460.0,Low price
186,18402,2016,26667.0,Middle price
187,4160,2017,37176.0,Low price
188,175,2000,231240.0,Low price
189,24503,2016,18006.0,Middle price
190,15840,2017,72445.0,Middle price
191,20500,2014,123355.0,Middle price
192,21003,2016,44116.0,Middle price
193,4200,2017,60219.0,Low price
194,17400,2011,135077.0,Middle price
195,32001,2016,32058.0,High price
197,15700,2011,309564.0,Middle price
198,31009,2016,33928.0,High price
199,3740,2017,90618.0,Low price
200,5000,2001,109360.0,Low price
201,31002,2016,71809.0,High price
202,3160,2017,31563.0,Low price
203,8600,2005,219823.0,Low price
204,6000,2018,42090.0,Low price
205,12990,2017,126523.0,Middle price
206,25,2020,7232.0,Low price
207,13200,2017,60171.0,Middle price
208,4410,2017,209915.0,Low price
209,25,2005,151815.0,Low price
210,22500,2020,13826.0,Middle price
211,7420,2017,55854.0,Low price
212,13500,2016,45757.0,Middle price
213,15500,2020,16545.0,Middle price
214,3540,2017,112893.0,Low price
215,17000,2016,126802.0,Middle price
216,45500,2020,13303.0,High price
217,4130,2017,34061.0,Low price
218,15700,2015,70251.0,Middle price
219,45500,2020,13679.0,High price
220,4130,2017,42426.0,Low price
221,15500,2012,66452.0,Middle price
222,16300,2020,18221.0,Middle price
223,4530,2017,41455.0,Low price
224,15600,2011,35275.0,Middle price
225,45500,2020,13885.0,High price
226,4100,2017,38815.0,Low price
227,18200,2011,162281.0,Middle price
228,10200,2013,56479.0,Middle price
229,4080,2017,61027.0,Low price
230,5700,2014,178703.0,Low price
231,10200,2014,173469.0,Middle price
232,5000,2017,37321.0,Low price
233,1700,2014,112789.0,Low price
234,6200,2011,80394.0,Low price
235,3650,2016,68142.0,Low price
236,10500,2014,74203.0,Middle price
237,43500,2018,57604.0,High price
238,4610,2016,87229.0,Low price
239,3450,2012,90711.0,Low price
240,38500,2018,11135.0,High price
241,6810,2016,66781.0,Low price
242,2900,2011,190994.0,Low price
243,43500,2018,56007.0,High price
244,4450,2016,32486.0,Low price
245,5800,2011,195908.0,Low price
246,16500,2018,18020.0,Middle price
247,4240,2016,83262.0,Low price
248,26500,2008,62015.0,Middle price
249,13700,2017,36421.0,Middle price
250,8600,2016,73321.0,Low price
251,8000,2008,132379.0,Low price
252,14200,2017,28013.0,Middle price
253,7040,2016,33291.0,Low price
254,4700,2005,225236.0,Low price
255,30851,2016,43176.0,High price
256,4880,2016,36876.0,Low price
257,14500,2006,111782.0,Middle price
258,7600,2017,110489.0,Low price
259,13270,2016,84035.0,Middle price
260,12800,2012,131101.0,Middle price
261,33000,2018,52521.0,High price
262,9280,2016,101380.0,Low price
263,900,2003,142027.0,Low price
264,7560,2016,111476.0,Low price
265,19500,2011,76897.0,Middle price
266,17100,2019,15780.0,Middle price
267,8020,2016,31944.0,Low price
268,10300,2019,18937.0,Middle price
269,22600,2019,9706.0,Middle price
270,10480,2016,57289.0,Middle price
271,10300,2019,19956.0,Middle price
272,22700,2019,6075.0,Middle price
273,7410,2016,21034.0,Low price
274,10300,2019,22881.0,Middle price
275,10300,2013,167600.0,Middle price
276,7570,2016,37252.0,Low price
277,67000,2019,10944.0,High price
278,18900,2019,27601.0,Middle price
279,12560,2019,15958.0,Middle price
280,33000,2019,32251.0,High price
281,18300,2019,25809.0,Middle price
282,11760,2017,30553.0,Middle price
283,31700,2019,26549.0,High price
284,25,2007,160528.0,Low price
286,7340,2019,15854.0,Low price
287,8200,2017,56690.0,Low price
288,3000,2013,97142.0,Low price
289,6530,2019,10185.0,Low price
291,12700,2019,23514.0,Middle price
292,13800,2017,86959.0,Middle price
294,725,2017,67279.0,Low price
295,7400,2019,16482.0,Low price
296,9800,2017,35687.0,Low price
298,4400,2019,17911.0,Low price
299,10330,2019,21278.0,Middle price
300,1800,2011,47269.0,Low price
301,50,2008,172102.0,Low price
302,720,2006,26914.0,Low price
303,22800,2017,67217.0,Middle price
304,2500,2017,78698.0,Low price
306,9190,2017,41961.0,Low price
307,10900,2019,13273.0,Middle price
308,10400,2019,31713.0,Middle price
311,7320,2008,325611.0,Low price
312,22809,2017,50732.0,Middle price
315,5520,2017,52904.0,Low price
316,10900,2019,14195.0,Middle price
317,6330,2019,43965.0,Low price
319,25,2010,149189.0,Low price
320,2320,2007,112182.0,Low price
321,23702,2017,49024.0,Middle price
324,5520,2017,35821.0,Low price
325,4050,2018,1.0,Low price
326,14810,2019,32611.0,Middle price
327,25,2011,105244.0,Low price
328,2960,2008,164048.0,Low price
329,24800,2017,46955.0,Middle price
332,6270,2017,70443.0,Low price
333,1880,2012,1.0,Low price
334,10050,2019,18229.0,Middle price
335,225,2014,87673.0,Low price
336,26900,2018,42941.0,Middle price
337,1420,2007,104405.0,Low price
338,27003,2017,57186.0,Middle price
340,350,2004,236980.0,Low price
341,5600,2017,59808.0,Low price
342,6680,2011,1.0,Low price
343,10120,2019,20681.0,Middle price
345,3920,2015,102700.0,Low price
346,23100,2017,53270.0,Middle price
