,price,year,mileage,price range
846,14500,2016,82240.0,Middle price
847,6200,2016,66167.0,Low price
848,7500,2012,144220.0,Low price
849,20200,2019,24722.0,Middle price
850,29300,2019,41198.0,Middle price
851,31000,2019,26353.0,High price
852,32400,2019,28280.0,High price
853,5800,2012,130120.0,Low price
854,21500,2019,15340.0,Middle price
855,23100,2018,12265.0,Middle price
856,4500,2014,94872.0,Low price
857,24800,2018,17946.0,Middle price
858,23000,2018,26996.0,Middle price
859,26900,2019,5775.0,Middle price
860,21500,2018,6748.0,Middle price
861,15700,2018,38128.0,Middle price
862,15200,2018,41636.0,Middle price
863,23300,2018,5359.0,Middle price
864,6100,2015,70296.0,Low price
865,20000,2017,11346.0,Middle price
866,53000,2017,7415.0,High price
867,3000,2013,107593.0,Low price
868,18200,2016,50639.0,Middle price
869,21800,2019,6530.0,Middle price
870,52000,2016,17432.0,High price
871,19000,2019,19636.0,Middle price
872,25000,2016,41748.0,Middle price
873,36000,2016,13162.0,High price
874,17000,2019,32937.0,Middle price
875,25300,2015,23095.0,Middle price
876,14900,2017,34432.0,Middle price
877,15000,2017,48162.0,Middle price
878,12995,2014,68310.0,Middle price
879,17750,2014,48000.0,Middle price
880,10295,2014,105962.0,Middle price
881,16995,2014,96575.0,Middle price
882,25000,2014,13239.0,Middle price
883,23995,2014,24934.0,Middle price
884,14900,2014,46859.0,Middle price
885,15810,2014,44468.0,Middle price
886,20227,2014,62230.0,Middle price
887,20999,2014,37082.0,Middle price
888,22499,2014,23964.0,Middle price
889,23495,2014,11204.0,Middle price
890,25250,2014,7608.0,Middle price
891,15322,2014,49982.0,Middle price
892,21232,2019,4950.0,Middle price
893,5800,2013,111628.0,Low price
894,29000,2012,15927.0,Middle price
895,17000,2018,36299.0,Middle price
896,13800,2018,28469.0,Middle price
897,30000,2019,29086.0,High price
898,14800,2017,35991.0,Middle price
899,8500,2017,62224.0,Low price
900,9800,2013,86500.0,Low price
901,4200,2014,144725.0,Low price
902,2500,2013,163260.0,Low price
903,28700,2018,19636.0,Middle price
904,18500,2018,34272.0,Middle price
905,17300,2018,42909.0,Middle price
906,7100,2016,55749.0,Low price
907,3250,2015,89142.0,Low price
908,30700,2017,20328.0,High price
909,3000,2012,149332.0,Low price
910,26500,2019,28551.0,Middle price
911,20800,2019,35098.0,Middle price
912,20800,2019,35365.0,Middle price
913,5100,2015,88398.0,Low price
914,18900,2019,27957.0,Middle price
915,24000,2019,30161.0,Middle price
916,38800,2015,26292.0,High price
917,24500,2019,25780.0,Middle price
918,24500,2019,25032.0,Middle price
919,6500,2016,72248.0,Low price
920,24000,2019,30630.0,Middle price
921,18000,2014,86125.0,Middle price
922,24000,2019,30408.0,Middle price
923,23500,2019,35443.0,Middle price
924,4500,2014,95377.0,Low price
925,25900,2019,32724.0,Middle price
926,13900,2019,45089.0,Middle price
927,14200,2019,35948.0,Middle price
928,15400,2019,41601.0,Middle price
929,17500,2019,26370.0,Middle price
930,17500,2019,18271.0,Middle price
931,18000,2019,9476.0,Middle price
932,25200,2012,80899.0,Middle price
933,14100,2018,57394.0,Middle price
934,13300,2018,42190.0,Middle price
935,16200,2019,22591.0,Middle price
936,13300,2018,48681.0,Middle price
937,13100,2018,42621.0,Middle price
938,15500,2017,27761.0,Middle price
939,4500,2013,107768.0,Low price
940,28400,2019,14355.0,Middle price
941,17400,2019,9467.0,Middle price
942,6000,2014,122837.0,Low price
943,20700,2019,18313.0,Middle price
944,20300,2019,19506.0,Middle price
945,14000,2018,14750.0,Middle price
946,22000,2019,11280.0,Middle price
947,17200,2019,13944.0,Middle price
948,15000,2016,26922.0,Middle price
949,17500,2019,12690.0,Middle price
950,1300,2013,239822.0,Low price
951,1750,2014,74975.0,Low price
952,16300,2019,28289.0,Middle price
953,15700,2019,38041.0,Middle price
954,10000,2017,52386.0,Middle price
955,23100,2019,34391.0,Middle price
956,14900,2019,39515.0,Middle price
957,16700,2019,22074.0,Middle price
958,16300,2019,28782.0,Middle price
959,25800,2019,30092.0,Middle price
960,23800,2019,26443.0,Middle price
961,16800,2019,28981.0,Middle price
962,15500,2019,32865.0,Middle price
963,6000,2014,117258.0,Low price
964,26900,2019,16397.0,Middle price
965,16900,2019,16176.0,Middle price
966,19500,2019,1091.0,Middle price
967,15400,2019,17472.0,Middle price
968,2300,2012,123882.0,Low price
969,17000,2019,10341.0,Middle price
970,34000,2019,19695.0,High price
971,13700,2017,51041.0,Middle price
972,19100,2018,22646.0,Middle price
973,11800,2018,18138.0,Middle price
974,27500,2019,23987.0,Middle price
975,26900,2019,17160.0,Middle price
976,27100,2019,26929.0,Middle price
977,27200,2019,25815.0,Middle price
978,9000,2017,81992.0,Low price
979,22500,2019,5000.0,Middle price
980,7700,2015,62683.0,Low price
981,4500,2013,107224.0,Low price
982,2200,2013,184905.0,Low price
983,21500,2019,35153.0,Middle price
984,18800,2019,26474.0,Middle price
985,21800,2019,30943.0,Middle price
986,20300,2019,17154.0,Middle price
987,8200,2016,79637.0,Low price
988,19000,2019,12123.0,Middle price
989,8400,2016,107822.0,Low price
990,19500,2019,10221.0,Middle price
991,7000,2015,95278.0,Low price
992,19500,2019,13457.0,Middle price
993,8500,2014,69936.0,Low price
994,20500,2019,13520.0,Middle price
995,4900,2014,96922.0,Low price
996,20800,2014,72594.0,Middle price
997,28500,2019,17896.0,Middle price
998,21900,2019,11088.0,Middle price
999,15800,2019,29567.0,Middle price
1000,33000,2019,15655.0,High price
1001,22700,2019,26428.0,Middle price
1002,21900,2019,29003.0,Middle price
1003,19300,2019,32229.0,Middle price
1004,30700,2019,26503.0,High price
1005,19300,2019,15446.0,Middle price
1006,13750,2014,128556.0,Middle price
1007,16400,2019,23369.0,Middle price
1008,19500,2019,8767.0,Middle price
1009,15100,2019,48319.0,Middle price
1010,28500,2019,15275.0,Middle price
1011,15300,2019,33826.0,Middle price
1012,20300,2019,16679.0,Middle price
1013,22000,2019,26184.0,Middle price
1014,16700,2019,21203.0,Middle price
1015,19300,2019,17870.0,Middle price
1016,34100,2019,17909.0,High price
1017,14600,2019,41126.0,Middle price
1018,18200,2019,14098.0,Middle price
1019,33800,2019,15003.0,High price
1020,15900,2019,29105.0,Middle price
1021,16500,2019,34794.0,Middle price
1022,29600,2019,20034.0,Middle price
1023,14100,2019,46942.0,Middle price
1024,18200,2019,14753.0,Middle price
1025,18200,2019,14359.0,Middle price
1026,24300,2019,34922.0,Middle price
1027,15400,2019,20944.0,Middle price
1028,19000,2019,9877.0,Middle price
1029,19000,2019,8949.0,Middle price
1030,27800,2017,13627.0,Middle price
1031,18200,2019,18291.0,Middle price
1032,15000,2018,38029.0,Middle price
1033,19200,2017,32593.0,Middle price
1034,15500,2018,37352.0,Middle price
1035,24900,2017,23030.0,Middle price
1036,15500,2018,30671.0,Middle price
1037,7600,2012,79544.0,Low price
1038,18400,2017,15027.0,Middle price
1039,14700,2018,29115.0,Middle price
1040,3900,2015,93604.0,Low price
1041,5200,2015,100203.0,Low price
1042,17200,2019,35401.0,Middle price
1043,18700,2019,20279.0,Middle price
1044,32000,2019,26090.0,High price
1045,14500,2015,107924.0,Middle price
1046,19400,2019,14906.0,Middle price
1047,17300,2019,34407.0,Middle price
1048,16700,2019,18049.0,Middle price
1049,19100,2019,18132.0,Middle price
1050,11100,2013,109176.0,Middle price
1051,32000,2019,25456.0,High price
1052,16900,2019,38375.0,Middle price
1053,18000,2017,39792.0,Middle price
1054,17800,2019,30403.0,Middle price
1055,18000,2019,28252.0,Middle price
1056,17500,2019,31904.0,Middle price
1057,14500,2018,24336.0,Middle price
1058,18500,2019,23961.0,Middle price
1059,18600,2019,22919.0,Middle price
1060,32000,2019,22863.0,High price
1061,17000,2019,38817.0,Middle price
1062,16000,2019,48854.0,Middle price
1063,18000,2019,27288.0,Middle price
1064,15900,2020,5284.0,Middle price
1065,6200,2016,99988.0,Low price
1066,3700,2013,84109.0,Low price
1067,24000,2012,88539.0,Middle price
1068,20800,2013,33739.0,Middle price
1069,18500,2012,101017.0,Middle price
1070,18300,2019,13906.0,Middle price
1071,21000,2019,20601.0,Middle price
1072,1300,2013,135561.0,Low price
1073,11900,2019,23421.0,Middle price
1074,950,2012,145174.0,Low price
1075,26800,2019,21309.0,Middle price
1076,800,2012,217576.0,Low price
1077,21000,2019,10350.0,Middle price
1078,1900,2012,157636.0,Low price
1079,33500,2019,8605.0,High price
1080,900,2013,139404.0,Low price
1081,21000,2019,10170.0,Middle price
1082,26800,2019,22272.0,Middle price
1083,5700,2016,101906.0,Low price
1084,18500,2019,27019.0,Middle price
1085,33000,2019,10930.0,High price
1086,11000,2019,73552.0,Middle price
1087,15800,2019,37107.0,Middle price
1088,3600,2013,124247.0,Low price
1089,16300,2019,36993.0,Middle price
1090,2700,2015,67133.0,Low price
1091,12800,2019,33580.0,Middle price
1092,9700,2015,94140.0,Low price
1093,18300,2019,10447.0,Middle price
1094,16000,2019,10229.0,Middle price
1095,21000,2019,6269.0,Middle price
1096,3700,2014,98699.0,Low price
1097,33000,2019,10631.0,High price
1098,14700,2019,44381.0,Middle price
1099,33000,2019,13960.0,High price
1100,15900,2019,14051.0,Middle price
1101,33000,2019,20800.0,High price
1102,33000,2019,8873.0,High price
1103,32500,2019,15502.0,High price
1104,33000,2019,9669.0,High price
1105,13000,2018,50873.0,Middle price
1106,33000,2019,14117.0,High price
1107,16500,2019,46820.0,Middle price
1108,33000,2019,7247.0,High price
1109,34500,2017,40991.0,High price
1110,33500,2019,9023.0,High price
1111,48000,2018,8047.0,High price
1112,54500,2019,3966.0,High price
1113,13200,2018,41014.0,Middle price
1114,31500,2018,20907.0,High price
1115,17400,2017,89795.0,Middle price
1116,26000,2017,57158.0,Middle price
1117,1700,2013,126718.0,Low price
1118,11000,2013,83976.0,Middle price
1119,21000,2018,12554.0,Middle price
1120,5500,2015,60707.0,Low price
1121,7500,2014,40110.0,Low price
1122,15800,2019,28038.0,Middle price
1123,16900,2019,26643.0,Middle price
1124,25000,2019,36127.0,Middle price
1125,18000,2019,19983.0,Middle price
1126,15600,2019,29926.0,Middle price
1127,23800,2019,36750.0,Middle price
1128,16800,2019,27312.0,Middle price
1129,22700,2019,49575.0,Middle price
1130,23300,2019,30279.0,Middle price
1131,23500,2019,25825.0,Middle price
1132,25500,2019,32474.0,Middle price
1133,21800,2019,30585.0,Middle price
1134,22800,2019,36203.0,Middle price
1135,18200,2019,29602.0,Middle price
1136,23500,2019,28689.0,Middle price
1137,25700,2019,31447.0,Middle price
1138,15700,2019,39148.0,Middle price
1139,17500,2018,33495.0,Middle price
1140,15700,2019,35274.0,Middle price
1141,16500,2018,48745.0,Middle price
1142,16100,2019,31297.0,Middle price
1143,15600,2019,38745.0,Middle price
1144,15400,2019,37704.0,Middle price
1145,28200,2017,27060.0,Middle price
1146,15300,2019,40002.0,Middle price
1147,15900,2019,34930.0,Middle price
1148,17700,2016,22863.0,Middle price
1149,15800,2019,36876.0,Middle price
1150,15900,2019,34264.0,Middle price
1151,25300,2019,17515.0,Middle price
1152,16300,2019,27071.0,Middle price
1153,29500,2019,14656.0,Middle price
1154,14500,2019,35652.0,Middle price
1155,15400,2019,30055.0,Middle price
1156,15400,2019,43088.0,Middle price
1157,15100,2019,33641.0,Middle price
1158,15000,2019,34797.0,Middle price
1159,15500,2019,43943.0,Middle price
1160,15000,2019,35744.0,Middle price
1161,15200,2019,31542.0,Middle price
1162,15700,2019,26899.0,Middle price
1163,16100,2019,29985.0,Middle price
1164,16300,2018,37009.0,Middle price
1165,16000,2019,30731.0,Middle price
1166,16900,2019,30062.0,Middle price
1167,17000,2019,28295.0,Middle price
1168,17300,2019,25534.0,Middle price
1169,15900,2019,29716.0,Middle price
1170,15700,2019,34294.0,Middle price
1171,16900,2019,27643.0,Middle price
1172,15500,2019,35516.0,Middle price
1173,15100,2019,40674.0,Middle price
1174,15500,2019,32494.0,Middle price
1175,15400,2019,35047.0,Middle price
1176,16500,2019,32898.0,Middle price
1177,42500,2015,13740.0,High price
1178,16600,2019,23132.0,Middle price
1179,15200,2019,37174.0,Middle price
1180,15800,2019,34023.0,Middle price
1181,16900,2019,30021.0,Middle price
1182,11100,2017,51469.0,Middle price
1183,15600,2019,31237.0,Middle price
1184,16900,2019,30186.0,Middle price
1185,15300,2019,41956.0,Middle price
1186,16600,2019,30727.0,Middle price
1187,21800,2017,38956.0,Middle price
1188,36500,2018,22036.0,High price
1189,26300,2019,26462.0,Middle price
1190,20900,2019,23143.0,Middle price
1191,20100,2019,17340.0,Middle price
1192,26700,2019,29749.0,Middle price
1193,23900,2019,35248.0,Middle price
1194,14500,2018,40417.0,Middle price
1195,23000,2017,30309.0,Middle price
1196,15000,2018,42303.0,Middle price
1197,15000,2018,35326.0,Middle price
1198,28500,2017,92100.0,Middle price
1199,28000,2017,99375.0,Middle price
1200,9000,2017,72418.0,Low price
1201,28700,2015,29733.0,Middle price
1202,25000,2017,119439.0,Middle price
1203,17347,2015,54396.0,Middle price
1204,13800,2016,91606.0,Middle price
1205,25888,2015,2807.0,Middle price
1206,8500,2017,78739.0,Low price
1207,21289,2015,71955.0,Middle price
1208,17999,2015,48472.0,Middle price
1209,2700,2012,98470.0,Low price
1210,30977,2015,28937.0,High price
1211,13799,2015,83693.0,Middle price
1212,20500,2014,90888.0,Middle price
1213,8500,2012,216942.0,Low price
1214,9900,2015,205796.0,Low price
1215,65500,2019,6500.0,High price
1216,24500,2018,39943.0,Middle price
1217,32500,2020,5920.0,High price
1218,9200,2018,71478.0,Low price
1219,17700,2017,119520.0,Middle price
1220,18300,2020,10882.0,Middle price
1221,43500,2019,29010.0,High price
1222,15200,2016,69003.0,Middle price
1223,36200,2019,16207.0,High price
1224,21900,2018,29748.0,Middle price
1225,20700,2019,25582.0,Middle price
1226,12300,2019,24520.0,Middle price
1227,4200,2016,104383.0,Low price
1228,19500,2019,34164.0,Middle price
1229,14300,2020,6975.0,Middle price
1230,13700,2016,67150.0,Middle price
1231,13200,2015,100820.0,Middle price
1232,6200,2014,142286.0,Low price
1233,6500,2015,60015.0,Low price
1234,1500,2013,126381.0,Low price
1235,2200,2013,128753.0,Low price
1236,4200,2013,0.0,Low price
1237,8700,2013,64598.0,Low price
1238,3200,2012,111532.0,Low price
1239,9000,2012,149346.0,Low price
1240,20000,2018,43567.0,Middle price
1241,33000,2017,36004.0,High price
1242,23300,2019,10935.0,Middle price
1243,8750,2017,150484.0,Low price
1244,11975,2012,122014.0,Middle price
1245,23600,2019,19363.0,Middle price
1246,12000,2016,42902.0,Middle price
1247,30900,2018,401.0,High price
1248,23900,2019,11077.0,Middle price
1249,40400,2018,34100.0,High price
1250,38000,2019,30018.0,High price
1251,27000,2019,18279.0,Middle price
1252,24000,2019,7373.0,Middle price
1253,30000,2019,2590.0,High price
1254,16200,2019,41662.0,Middle price
1255,30000,2019,15019.0,High price
1256,23900,2019,9420.0,Middle price
1257,13800,2018,41864.0,Middle price
1258,23700,2019,16829.0,Middle price
1259,24300,2018,6290.0,Middle price
1260,54900,2019,14393.0,High price
1261,22500,2018,14599.0,Middle price
1262,39000,2018,25839.0,High price
1263,13900,2018,60715.0,Middle price
1264,24700,2018,23350.0,Middle price
1265,20100,2018,62386.0,Middle price
1266,22000,2018,6248.0,Middle price
1267,38200,2019,878.0,High price
1268,24400,2018,49710.0,Middle price
1269,35000,2018,2042.0,High price
1270,18600,2019,7742.0,Middle price
1271,22700,2018,39733.0,Middle price
1272,38000,2018,33701.0,High price
1273,17000,2014,67542.0,Middle price
1274,17500,2017,35095.0,Middle price
1275,23200,2019,8652.0,Middle price
1276,30700,2017,51107.0,High price
1277,23500,2019,14987.0,Middle price
1278,26400,2017,28252.0,Middle price
1279,23500,2019,16009.0,Middle price
1280,38000,2017,47866.0,High price
1281,23600,2019,11004.0,Middle price
1282,19300,2017,42895.0,Middle price
1283,23200,2019,9490.0,Middle price
1284,13800,2017,39027.0,Middle price
1285,23600,2019,13466.0,Middle price
1286,23200,2019,8737.0,Middle price
1287,40000,2017,23960.0,High price
1288,23400,2019,5562.0,Middle price
1289,23600,2019,13763.0,Middle price
1290,23000,2019,10444.0,Middle price
1291,25500,2017,41696.0,Middle price
1292,23500,2019,15787.0,Middle price
1293,29900,2017,9167.0,Middle price
1294,23200,2019,17541.0,Middle price
1295,50500,2017,24686.0,High price
1296,23400,2019,15210.0,Middle price
1297,24500,2017,54601.0,Middle price
1298,49000,2017,2205.0,High price
1299,25400,2017,35691.0,Middle price
1300,23000,2017,32788.0,Middle price
1301,6000,2012,180471.0,Low price
1302,22400,2016,42925.0,Middle price
1303,22500,2016,37385.0,Middle price
1304,25200,2019,15415.0,Middle price
1305,36000,2016,20047.0,High price
1306,26700,2019,16884.0,Middle price
1307,30500,2016,57936.0,High price
1308,26700,2019,15244.0,Middle price
1309,25000,2019,19842.0,Middle price
1310,35200,2016,38830.0,High price
1311,30300,2019,31899.0,High price
1312,25000,2016,69305.0,Middle price
1313,26500,2016,46098.0,Middle price
1314,21600,2019,29457.0,Middle price
1315,18800,2016,30765.0,Middle price
1316,21500,2019,29096.0,Middle price
1317,9000,2016,40437.0,Low price
1318,16700,2015,69004.0,Middle price
1319,16800,2015,65179.0,Middle price
1320,15700,2015,75862.0,Middle price
1321,16800,2015,68319.0,Middle price
1322,19500,2015,80354.0,Middle price
1323,20500,2015,51441.0,Middle price
1324,17400,2015,70954.0,Middle price
1325,17500,2014,92500.0,Middle price
1326,26000,2014,66367.0,Middle price
1327,56700,2019,13884.0,High price
1328,5000,2013,202565.0,Low price
1329,40200,2019,26484.0,High price
1330,54000,2013,703.0,High price
1331,65200,2019,18138.0,High price
1332,32500,2017,28007.0,High price
1333,25500,2019,11251.0,Middle price
1334,63000,2019,11640.0,High price
1335,44000,2019,10763.0,High price
1336,70000,2019,9643.0,High price
1337,56200,2019,33930.0,High price
1338,35000,2019,26451.0,High price
1339,57700,2019,21101.0,High price
1340,74000,2019,10536.0,High price
1341,60200,2019,31744.0,High price
1342,60000,2018,18062.0,High price
1343,63000,2018,17942.0,High price
1344,22500,2014,43646.0,Middle price
1345,8300,2014,71989.0,Low price
1346,8300,2012,138328.0,Low price
1347,21000,2013,95386.0,Middle price
1348,19300,2019,23740.0,Middle price
1349,16400,2019,36064.0,Middle price
1350,27300,2019,18805.0,Middle price
1351,26400,2012,151035.0,Middle price
1352,35100,2019,10099.0,High price
1353,41500,2018,9800.0,High price
1354,34100,2019,10483.0,High price
1355,28600,2019,17544.0,Middle price
1356,34100,2019,10167.0,High price
1357,28700,2019,11457.0,Middle price
1358,24700,2019,26590.0,Middle price
1359,46500,2019,35346.0,High price
1360,29000,2019,12953.0,Middle price
1361,25500,2019,26693.0,Middle price
1362,39500,2019,25071.0,High price
1363,33100,2019,33538.0,High price
1364,30500,2019,9915.0,High price
1365,3600,2018,1.0,Low price
1366,16800,2019,9910.0,Middle price
1367,24000,2019,16765.0,Middle price
1368,58500,2019,4970.0,High price
1369,55000,2017,43964.0,High price
1370,28800,2019,40785.0,Middle price
1371,26800,2015,108998.0,Middle price
1372,36000,2018,58576.0,High price
1373,20000,2018,55475.0,Middle price
1374,46700,2019,35929.0,High price
1375,42800,2019,21669.0,High price
1376,21800,2018,16079.0,Middle price
1377,18800,2018,41147.0,Middle price
1378,18800,2018,45798.0,Middle price
1379,30200,2018,21703.0,High price
1380,27500,2018,22284.0,Middle price
1381,37500,2018,24567.0,High price
1382,19100,2018,30594.0,Middle price
1383,17100,2018,52747.0,Middle price
1384,13500,2018,21592.0,Middle price
1385,54500,2018,19853.0,High price
1386,9000,2018,25201.0,Low price
1387,16400,2020,10351.0,Middle price
1388,17000,2020,1117.0,Middle price
1389,24800,2017,37279.0,Middle price
1390,26800,2017,30113.0,Middle price
1391,19400,2017,27570.0,Middle price
1392,20000,2017,45188.0,Middle price
1393,7000,2012,149712.0,Low price
1394,25100,2017,25030.0,Middle price
1395,2000,2013,105743.0,Low price
1396,18200,2020,9861.0,Middle price
1397,14200,2018,1751.0,Middle price
1398,56500,2017,30629.0,High price
1399,2000,2016,52883.0,Low price
1400,26500,2020,122.0,Middle price
1401,34300,2019,28534.0,High price
1402,43500,2017,80699.0,High price
1403,3500,2016,72851.0,Low price
1404,37200,2019,24078.0,High price
1405,12800,2017,38639.0,Middle price
1406,15000,2013,146807.0,Middle price
1407,12500,2017,31871.0,Middle price
1408,21500,2017,76876.0,Middle price
1409,17300,2019,28070.0,Middle price
1410,27000,2017,3189.0,Middle price
1411,31800,2017,28359.0,High price
1412,13000,2017,42890.0,Middle price
1413,31800,2017,29328.0,High price
1414,46300,2016,47531.0,High price
1415,6000,2015,57345.0,Low price
1416,22800,2016,67546.0,Middle price
1417,45000,2019,18153.0,High price
1418,49500,2019,17689.0,High price
1419,3000,2012,137171.0,Low price
1420,20000,2015,63445.0,Middle price
1421,25300,2019,26422.0,Middle price
1422,4000,2015,149319.0,Low price
1423,45500,2019,18767.0,High price
1424,9100,2018,38289.0,Low price
1425,48000,2019,22960.0,High price
1426,47000,2019,17263.0,High price
1427,49500,2019,16981.0,High price
1428,31200,2019,13058.0,High price
1429,18500,2014,45887.0,Middle price
1430,15500,2019,21740.0,Middle price
1431,30500,2019,17707.0,High price
1432,45500,2019,19121.0,High price
1433,31500,2019,18856.0,High price
1434,11000,2013,84752.0,Middle price
1435,46500,2019,19555.0,High price
1436,31500,2019,16340.0,High price
1437,32000,2018,17242.0,High price
1438,23900,2019,28733.0,Middle price
1439,31500,2019,16019.0,High price
1440,18500,2016,75580.0,Middle price
1441,1500,2013,113444.0,Low price
1442,46000,2019,19227.0,High price
1443,31500,2019,13633.0,High price
1444,14700,2015,37739.0,Middle price
1445,2700,2013,103541.0,Low price
1446,47500,2019,24072.0,High price
1447,31500,2019,17657.0,High price
1448,8900,2014,77392.0,Low price
1449,7000,2019,11930.0,Low price
1450,49000,2019,19731.0,High price
1451,31500,2019,15581.0,High price
1452,8900,2014,70181.0,Low price
1453,48000,2019,16143.0,High price
1454,50000,2019,17995.0,High price
1455,47300,2019,23926.0,High price
1456,45000,2017,57929.0,High price
1457,49000,2019,20758.0,High price
1458,40200,2019,10028.0,High price
1459,48000,2019,21051.0,High price
1460,5000,2015,136307.0,Low price
1461,8200,2013,105880.0,Low price
1462,49000,2019,19985.0,High price
1463,4000,2015,102590.0,Low price
1464,39000,2019,27612.0,High price
1465,29000,2015,90855.0,Middle price
1466,46500,2019,19936.0,High price
1467,7805,2015,64495.0,Low price
1468,22000,2018,39477.0,Middle price
1469,18800,2019,25698.0,Middle price
1470,33000,2015,73849.0,High price
1471,39500,2019,25422.0,High price
1472,16900,2015,47866.0,Middle price
1473,42500,2019,31236.0,High price
1474,39500,2019,26755.0,High price
1475,25500,2018,49177.0,Middle price
1476,49500,2019,20749.0,High price
1477,25000,2018,15003.0,Middle price
1478,40000,2019,12247.0,High price
1479,26000,2018,1.0,Middle price
1480,29500,2019,10808.0,Middle price
1481,23000,2019,11263.0,Middle price
1482,25500,2018,42307.0,Middle price
1483,44500,2019,17484.0,High price
1484,15600,2019,37106.0,Middle price
1485,23100,2019,9539.0,Middle price
1486,37000,2019,2384.0,High price
1487,14500,2019,20590.0,Middle price
1488,23000,2019,13896.0,Middle price
1489,26500,2019,9451.0,Middle price
1490,18000,2017,31657.0,Middle price
1491,35700,2019,33907.0,High price
1492,31000,2019,10028.0,High price
1493,2000,2013,175640.0,Low price
1494,40400,2019,30770.0,High price
1495,43600,2019,15141.0,High price
1496,22600,2019,18431.0,Middle price
1497,26000,2019,9604.0,Middle price
1498,23200,2019,9516.0,Middle price
1499,29000,2019,9718.0,Middle price
1500,22800,2019,16506.0,Middle price
1501,3450,2015,192108.0,Low price
1502,31000,2019,11028.0,High price
1503,22900,2019,11313.0,Middle price
1504,3000,2014,141595.0,Low price
1505,28000,2019,12886.0,Middle price
1506,23200,2019,9556.0,Middle price
1507,27000,2019,13269.0,Middle price
1508,22800,2019,16770.0,Middle price
1509,31500,2019,13526.0,High price
1510,23400,2019,16391.0,Middle price
1511,28000,2019,11437.0,Middle price
1512,23400,2019,17964.0,Middle price
1513,28000,2018,5440.0,Middle price
1514,24900,2019,13035.0,Middle price
1515,23500,2019,15759.0,Middle price
1516,36000,2018,30002.0,High price
1517,28700,2019,13673.0,Middle price
1518,16000,2018,24480.0,Middle price
1519,31000,2019,13230.0,High price
1520,16500,2017,137789.0,Middle price
1521,28500,2019,13516.0,Middle price
1522,10800,2017,81660.0,Middle price
1523,28500,2019,11763.0,Middle price
1524,25000,2017,34165.0,Middle price
1525,31000,2019,13458.0,High price
1526,7800,2016,104867.0,Low price
1527,28500,2019,14004.0,Middle price
1528,9500,2016,69829.0,Low price
1529,28500,2019,13405.0,Middle price
1530,14500,2016,96151.0,Middle price
1531,25000,2019,12688.0,Middle price
1532,14500,2016,116519.0,Middle price
1533,28500,2019,12260.0,Middle price
1534,12100,2016,29367.0,Middle price
1535,29400,2019,18982.0,Middle price
1536,24700,2019,23795.0,Middle price
1537,8700,2016,76572.0,Low price
1538,29500,2019,15964.0,Middle price
1539,25800,2019,28117.0,Middle price
1540,17500,2016,116730.0,Middle price
1541,23900,2019,21055.0,Middle price
1542,22900,2019,27794.0,Middle price
1543,19500,2016,56995.0,Middle price
1544,29500,2019,16625.0,Middle price
1545,24500,2019,27689.0,Middle price
1546,11000,2016,39851.0,Middle price
1547,22400,2019,31727.0,Middle price
1548,15700,2019,31586.0,Middle price
1549,11000,2015,33717.0,Middle price
1550,28000,2019,18418.0,Middle price
1551,13500,2019,39013.0,Middle price
1552,7300,2013,125451.0,Low price
1553,25100,2019,21346.0,Middle price
1554,24100,2019,21150.0,Middle price
1555,6500,2014,103862.0,Low price
1556,10500,2019,22001.0,Middle price
1557,16900,2019,31261.0,Middle price
1558,6000,2013,140870.0,Low price
1559,28500,2019,14358.0,Middle price
1560,16200,2019,41672.0,Middle price
1561,6500,2013,95655.0,Low price
1562,24500,2019,19493.0,Middle price
1563,16500,2019,36956.0,Middle price
1564,56500,2017,23223.0,High price
1565,10400,2019,13085.0,Middle price
1566,22800,2018,36124.0,Middle price
1567,26500,2019,19147.0,Middle price
1568,23800,2019,24993.0,Middle price
1569,24700,2018,41127.0,Middle price
1570,12400,2019,32365.0,Middle price
1571,16600,2019,27774.0,Middle price
1572,11200,2015,105027.0,Middle price
1573,15900,2019,27806.0,Middle price
1574,7700,2015,54198.0,Low price
1575,15100,2019,30181.0,Middle price
1576,7200,2013,82670.0,Low price
1577,15600,2019,36305.0,Middle price
1578,39700,2019,10475.0,High price
1579,16000,2019,34734.0,Middle price
1580,7500,2012,186713.0,Low price
1581,15500,2017,132150.0,Middle price
1582,19000,2019,12928.0,Middle price
1583,5500,2015,116539.0,Low price
1584,38700,2018,59549.0,High price
1585,21000,2019,12174.0,Middle price
1586,28500,2016,96129.0,Middle price
1587,37200,2018,89809.0,High price
1588,18500,2019,18202.0,Middle price
1589,15000,2015,128505.0,Middle price
1590,37700,2017,43527.0,High price
1591,22200,2019,15792.0,Middle price
1592,39950,2019,9278.0,High price
1593,37600,2017,41925.0,High price
1594,18500,2019,16924.0,Middle price
1595,10000,2013,119869.0,Middle price
1596,20500,2019,17260.0,Middle price
1597,5700,2013,89490.0,Low price
1598,21000,2019,40772.0,Middle price
1599,22500,2019,25623.0,Middle price
1600,29000,2019,11669.0,Middle price
1601,13200,2013,138524.0,Middle price
1602,25500,2019,13644.0,Middle price
1603,25700,2016,147935.0,Middle price
1604,18900,2015,44456.0,Middle price
1605,31500,2019,20357.0,High price
1606,45500,2017,66366.0,High price
1607,11000,2017,43532.0,Middle price
1608,18288,2015,45218.0,Middle price
1609,20000,2017,85688.0,Middle price
1610,36600,2016,58902.0,High price
1611,18299,2015,59869.0,Middle price
